RunId,PlotId,MonStatus,MonStatusOrder,TreeSpecies,TreeExpansionFactor,Diameter,TreeHeight,CrownBaseHeight,TreeStatus,CrownClass,CrownRatio,BoleCharHeight,CrownScorch%,ScorchHeight,CKR,BeetleDamage,EquationType,FlLe/ScHt,FS,Severity,BehaveProbability,FOFEMProbability,AbsoluteDifference
80,CS-MOAL-5-25-30-3,30,3,MOAL,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,70,0.0162941,
81,CS-MORU2-5-25-30-3,30,3,MORU2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,70,0.0162941,
82,CS-MORSPP-5-25-30-3,30,3,MORSPP,100,5,25,,,,30,,,,,,CRNSCH,3,S,,72,73,0.283293,
83,CS-NYAQ2-5-25-30-3,30,3,NYAQ2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,59,59,0.259949,
84,CS-NYOG-5-25-30-3,30,3,NYOG,100,5,25,,,,30,,,,,,CRNSCH,3,S,,59,59,0.259949,
85,CS-NYBI-5-25-30-3,30,3,NYBI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,59,59,0.259949,
86,CS-OSVI-5-25-30-3,30,3,OSVI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,71,0.436977,
87,CS-PATO2-5-25-30-3,30,3,PATO2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,63,63,0.272053,
88,CS-PEBO-5-25-30-3,30,3,PEBO,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,70,0.0162941,
89,CS-PIAB-5-25-30-3,30,3,PIAB,100,5,25,,,,30,,,,,,CRNSCH,3,S,,80,80,0,
90,CS-PIEN-5-25-30-3,30,3,PIEN,100,5,25,,,,30,,,,,,CRNSCH,3,S,,52,52,0.111244,
91,CS-PIGL-5-25-30-3,30,3,PIGL,100,5,25,,,,30,,,,,,CRNSCH,3,S,,80,80,0,
92,CS-PIMA-5-25-30-3,30,3,PIMA,100,5,25,,,,30,,,,,,CRNSCH,3,S,,80,80,0,
93,CS-PIPU-5-25-30-3,30,3,PIPU,100,5,25,,,,30,,,,,,CRNSCH,3,S,,80,80,0,
94,CS-PIRU-5-25-30-3,30,3,PIRU,100,5,25,,,,30,,,,,,CRNSCH,3,S,,80,80,0,
95,CS-PISI-5-25-30-3,30,3,PISI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,80,80,0,
96,CS-PIAL-5-25-30-3,30,3,PIAL,100,5,25,,,,30,,,,,,CRNSCH,3,S,,33,34,0.0337816,
97,CS-PIAT-5-25-30-3,30,3,PIAT,100,5,25,,,,30,,,,,,CRNSCH,3,S,,74,74,0.292583,
98,CS-PIBA2-5-25-30-3,30,3,PIBA2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,69,0.0859648,
99,CS-PICL-5-25-30-3,30,3,PICL,100,5,25,,,,30,,,,,,CRNSCH,3,S,,71,72,0.35316,
